player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
DC Thomas,Adelaide Oval,30,92,3.0,1,batter,32.61,,
IS Sodhi,"John Davies Oval, Queenstown",30,24,,1,bowler,,1.0,7.5
BG Lister,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",2,7,0.0,1,batter,28.57,,
KAJ Roach,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",272,496,,3,bowler,,12.0,3.29
CG Williams,"United Cricket Club Ground, Windhoek",39,47,4.0,2,batter,82.98,,
Taranjeet Singh,"Simar Cricket Ground, Rome",72,46,13.0,3,batter,156.52,,
AC Gilchrist,Melbourne Cricket Ground,427,467,58.0,16,batter,91.43,,
DBL Powell,Kingsmead,15,13,3.0,2,batter,115.38,,
R Rampaul,"Sardar Patel Stadium, Motera",57,53,,1,bowler,,4.0,6.45
V Sehwag,Nahar Singh Stadium,26,45,4.0,1,batter,57.78,,
K Nassoro,"TCA Oval, Blantyre",131,72,,5,bowler,,3.0,10.92
Mehran Khan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),198,174,,9,bowler,,10.0,6.83
Ateeq Iqbal,"West End Park International Cricket Stadium, Doha",0,3,0.0,1,batter,0.0,,
T Panyangara,Sheikh Abu Naser Stadium,9,40,2.0,1,batter,22.5,,
A Symonds,Adelaide Oval,282,463,,7,bowler,,8.0,3.65
MA Starc,"Eden Gardens, Kolkata",34,60,,1,bowler,,3.0,3.4
NM Hauritz,Sophia Gardens,214,425,,2,bowler,,7.0,3.02
JK Silva,Hagley Oval,37,115,5.0,1,batter,32.17,,
IO Okpe,Kyambogo Cricket Oval,7,7,0.0,1,batter,100.0,,
MG Johnson,R Premadasa Stadium,1,7,0.0,2,batter,14.29,,
CK Langeveldt,Bellerive Oval,47,60,,1,bowler,,2.0,4.7
Iftikhar Anjum,Nehru Stadium,50,48,,1,bowler,,0.0,6.25
PJ Cummins,"Headingley, Leeds",1,10,0.0,1,batter,10.0,,
HV Patel,"McLean Park, Napier",28,22,,1,bowler,,1.0,7.64
DE Bollinger,Kingsmead,43,60,,1,bowler,,0.0,4.3
S Dhawan,Headingley,75,93,12.0,2,batter,80.65,,
RR Hendricks,St George's Park,13,18,,1,bowler,,1.0,4.33
GD Phillips,"Greenfield International Stadium, Thiruvananthapuram",7,6,1.0,1,batter,116.67,,
CRD Fernando,"SuperSport Park, Centurion",47,54,,1,bowler,,3.0,5.22
Imam-ul-Haq,Dubai International Cricket Stadium,205,441,21.0,6,batter,46.49,,
S Dhawan,"Queen's Park Oval, Port of Spain, Trinidad",167,203,20.0,3,batter,82.27,,
K Rabada,Pallekele International Cricket Stadium,34,48,,1,bowler,,0.0,4.25
SA Yadav,"Seddon Park, Hamilton",34,25,5.0,1,batter,136.0,,
I Sharma,"Sardar Patel Stadium, Motera",0,4,0.0,1,batter,0.0,,
A Mishra,Eden Gardens,28,37,5.0,1,batter,75.68,,
GD Drummond,"Civil Service Cricket Club, Stormont",36,42,,2,bowler,,1.0,5.14
MS Dhoni,"Punjab Cricket Association IS Bindra Stadium, Mohali",41,37,7.0,3,batter,110.81,,
N Vanua,Affies Park,28,12,5.0,1,batter,233.33,,
MG Bracewell,"Sabina Park, Kingston, Jamaica",7,5,1.0,2,batter,140.0,,
S Mahmood,"Lord's, London",10,19,1.0,2,batter,52.63,,
SL Malinga,County Ground,15,24,,1,bowler,,2.0,3.75
IG Holland,ICC Academy,48,84,,2,bowler,,3.0,3.43
Mohammad Ashraful,R Premadasa Stadium,19,40,,2,bowler,,1.0,2.85
DJ Bravo,"Sabina Park, Kingston",575,866,,14,bowler,,24.0,3.98
SN Netravalkar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),1,3,0.0,1,batter,33.33,,
SD Hope,Sharjah Cricket Stadium,36,29,2.0,2,batter,124.14,,
JH Davey,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),67,69,,3,bowler,,8.0,5.83
SK Raina,"Brisbane Cricket Ground, Woolloongabba",61,72,,3,bowler,,1.0,5.08
AJ Hall,"Headingley, Leeds",141,274,,1,bowler,,4.0,3.09
SW Billings,Hagley Oval,14,11,2.0,1,batter,127.27,,
DL Vettori,"Gaddafi Stadium, Lahore",0,3,0.0,1,batter,0.0,,
H Kaushik,"Arun Jaitley Stadium, Delhi",17,12,,1,bowler,,0.0,8.5
PM Seelaar,Mannofield Park,1,1,0.0,1,batter,100.0,,
MC Henriques,Sydney Cricket Ground,37,33,2.0,5,batter,112.12,,
GJ Bailey,SuperSport Park,86,97,10.0,2,batter,88.66,,
S Stanikzay,"Simar Cricket Ground, Rome",0,2,0.0,1,batter,0.0,,
SK Raina,Maharani Usharaje Trust Cricket Ground,57,74,4.0,2,batter,77.03,,
Festus Benn,"Hurlingham Club Ground, Buenos Aires",59,67,,4,bowler,,7.0,5.28
DW Lawrence,Galle International Stadium,99,229,7.0,2,batter,43.23,,
SJ Harmison,Kennington Oval,712,1090,,10,bowler,,30.0,3.92
JDF Vandersay,Pallekele International Cricket Stadium,14,21,0.0,3,batter,66.67,,
Khaled Mahmud,Bangabandhu National Stadium,14,31,0.0,1,batter,45.16,,
HGV Vare,"Wanderers Cricket Ground, Windhoek",4,8,0.0,1,batter,50.0,,
N Pradeep,Sophia Gardens,119,108,,2,bowler,,4.0,6.61
M Dillon,Daren Sammy National Cricket Stadium,59,60,,1,bowler,,1.0,5.9
N Burger,"Gaddafi Stadium, Lahore",14,12,,1,bowler,,0.0,7.0
HM Amla,Riverside Ground,80,105,5.0,1,batter,76.19,,
Mohammad Amir,University Oval,150,288,,2,bowler,,4.0,3.12
TP Visee,"Hazelaarweg, Rotterdam",3,10,0.0,1,batter,30.0,,
Rohan Mustafa,Western Australia Cricket Association Ground,2,12,0.0,1,batter,16.67,,
KU Carty,"Castle Avenue, Dublin",278,262,38.0,3,batter,106.11,,
IS Sodhi,"Sportpark Westvliet, The Hague",43,36,,2,bowler,,2.0,7.17
P Utseya,Goodyear Park,14,24,1.0,1,batter,58.33,,
SJ Baard,Sharjah Cricket Stadium,26,38,3.0,3,batter,68.42,,
A Bushell,"King George V Sports Ground, Castel",7,6,,1,bowler,,0.0,7.0
HDRL Thirimanne,Hagley Oval,139,317,11.0,5,batter,43.85,,
KMA Paul,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",21,27,3.0,1,batter,77.78,,
DJ Hussey,Trent Bridge,28,22,3.0,1,batter,127.27,,
Jatinder Singh,"Zayed Cricket Stadium, Abu Dhabi",52,43,9.0,2,batter,120.93,,
SJ Myburgh,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),58,66,8.0,2,batter,87.88,,
O Isesele,University of Lagos Cricket Oval,13,6,,1,bowler,,0.0,13.0
JNT Seales,"Brian Lara Stadium, Tarouba, Trinidad",2,12,0.0,2,batter,16.67,,
SO Ngoche,"Achimota Senior Secondary School B Field, Accra",3,5,0.0,1,batter,60.0,,
RK Kleinveldt,Senwes Park,6,5,1.0,1,batter,120.0,,
D Elgar,Feroz Shah Kotla,73,144,,1,bowler,,0.0,3.04
AD Hales,Wankhede Stadium,87,66,13.0,3,batter,131.82,,
IDR Bradshaw,Eden Park,227,421,,3,bowler,,8.0,3.24
DA Warner,Galle International Stadium,147,156,26.0,3,batter,94.23,,
S Dube,"Nassau County International Cricket Stadium, New York",34,46,2.0,3,batter,73.91,,
Hasan Ali,Sophia Gardens,180,204,,4,bowler,,11.0,5.29
AR Cusack,M Chinnaswamy Stadium,57,42,,2,bowler,,0.0,8.14
CJ Jordan,County Ground,3,3,0.0,1,batter,100.0,,
PR Stirling,Sportpark Het Schootsveld,132,70,21.0,2,batter,188.57,,
HK Bennett,"MA Chidambaram Stadium, Chepauk",16,30,,1,bowler,,4.0,3.2
Shahid Nazir,Newlands,30,57,3.0,1,batter,52.63,,
Ayan Khan,Harare Sports Club,135,143,17.0,2,batter,94.41,,
Azhar Ali,Sinhalese Sports Club Ground,10,24,,1,bowler,,0.0,2.5
VP Thamotharam,Gucherre Cricket Ground,107,56,14.0,2,batter,191.07,,
A Symonds,Sawai Mansingh Stadium,8,10,1.0,1,batter,80.0,,
K Rabada,"Mangaung Oval, Bloemfontein",173,168,,3,bowler,,6.0,6.18
R Ngarava,"Grange Cricket Club Ground, Raeburn Place",2,2,0.0,1,batter,100.0,,
KC Sangakkara,Shere Bangla National Stadium,681,847,72.0,16,batter,80.4,,
A Martel,"King George V Sports Ground, Castel",138,151,,9,bowler,,7.0,5.48
V Sehwag,Barabati Stadium,26,24,,1,bowler,,1.0,6.5
DN Wellalage,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",62,60,,1,bowler,,0.0,6.2
Shoaib Rafiq,"St George's College Ground, Buenos Aires",1,5,0.0,2,batter,20.0,,
DJ Bravo,"National Cricket Stadium, Grenada",28,24,,1,bowler,,2.0,7.0
KMA Paul,"Brian Lara Stadium, Tarouba, Trinidad",24,12,,1,bowler,,1.0,12.0
B Kumar,"JSCA International Stadium Complex, Ranchi",39,24,,1,bowler,,1.0,9.75
KAJ Roach,"Hagley Oval, Christchurch",125,234,,1,bowler,,7.0,3.21
M Dillon,Adelaide Oval,5,7,1.0,1,batter,71.43,,
Taskin Ahmed,Sinhalese Sports Club Ground,50,48,,1,bowler,,1.0,6.25
LD Chandimal,R Premadasa Stadium,495,686,33.0,16,batter,72.16,,
R Sakurano-Thomas,"Amini Park, Port Moresby",69,81,5.0,6,batter,85.19,,
SM Pollock,Melbourne Cricket Ground,76,139,10.0,1,batter,54.68,,
SO Dowrich,Castle Avenue,6,8,1.0,1,batter,75.0,,
DN Wellalage,"Zahur Ahmed Chowdhury Stadium, Chattogram",77,96,,2,bowler,,0.0,4.81
A Randhawa,"Botkyrka Cricket Center, Stockholm",17,18,1.0,2,batter,94.44,,
KD Mills,"McLean Park, Napier",5,6,0.0,1,batter,83.33,,
M Kaif,Bangabandhu National Stadium,29,24,2.0,1,batter,120.83,,
Hamza Tahir,Sharjah Cricket Stadium,74,84,,2,bowler,,1.0,5.29
HAPW Jayawardene,Galle International Stadium,290,544,33.0,9,batter,53.31,,
MM Ali,"Trent Bridge, Nottingham",54,26,,2,bowler,,1.0,12.46
C White,"Newlands, Cape Town",33,30,,1,bowler,,3.0,6.6
A Flintoff,"Bangabandhu National Stadium, Dhaka",49,120,,2,bowler,,3.0,2.45
BW Hilfenhaus,"Beausejour Stadium, Gros Islet",0,4,0.0,2,batter,0.0,,
E Chigumbura,"Vidarbha Cricket Association Stadium, Jamtha",55,38,6.0,3,batter,144.74,,
JEC Franklin,Eden Park,420,477,,12,bowler,,12.0,5.28
DDP D'Silva,Sportpark Westvliet,9,9,1.0,1,batter,100.0,,
DPMD Jayawardene,County Ground,72,57,9.0,1,batter,126.32,,
CT Tremlett,"Brisbane Cricket Ground, Woolloongabba",161,270,,2,bowler,,4.0,3.58
R Dravid,"MA Chidambaram Stadium, Chepauk, Chennai",4,6,0.0,1,batter,66.67,,
M Ntini,National Stadium,82,143,,1,bowler,,1.0,3.44
JP Duminy,Sinhalese Sports Club Ground,82,114,,1,bowler,,2.0,4.32
PA Jaques,"Sir Vivian Richards Stadium, North Sound",87,181,10.0,1,batter,48.07,,
TM Odoyo,ICC Academy,29,42,,2,bowler,,4.0,4.14
DT Hondo,Harare Sports Club,258,302,,7,bowler,,4.0,5.13
Taskin Ahmed,"R.Premadasa Stadium, Khettarama",8,9,1.0,1,batter,88.89,,
Abhishek Sharma,"Greenfield International Stadium, Thiruvananthapuram",30,16,6.0,1,batter,187.5,,
KAJ Roach,"The Village, Malahide",3,4,0.0,1,batter,75.0,,
DM Bravo,Sir Vivian Richards Stadium,147,186,13.0,3,batter,79.03,,
Khushdil Shah,Zhejiang University of Technology Cricket Field,27,26,3.0,2,batter,103.85,,
GP Swann,Dubai International Cricket Stadium,314,569,,7,bowler,,17.0,3.31
Deng Jinqi,"Terdthai Cricket Ground, Bangkok",0,8,0.0,1,batter,0.0,,
CR Woakes,"Mangaung Oval, Bloemfontein",14,16,2.0,1,batter,87.5,,
PD Blignaut,"Tribhuvan University International Cricket Ground, Kirtipur",49,18,,2,bowler,,0.0,16.33
SA Abbott,"Bay Oval, Mount Maunganui",13,7,2.0,1,batter,185.71,,
NJ Astle,"Westpac Stadium, Wellington",0,2,0.0,1,batter,0.0,,
A Mithun,"Sardar Patel Stadium, Motera",110,90,,2,bowler,,1.0,7.33
A Mukund,Lord's,57,115,5.0,1,batter,49.57,,
Nasum Ahmed,McLean Park,25,24,,1,bowler,,0.0,6.25
P Gheewala,"King George V Sports Ground, Castel",16,6,,1,bowler,,0.0,16.0
Ziaur Rahman,Harare Sports Club,71,180,,1,bowler,,4.0,2.37
Yuvraj Singh,"Newlands, Cape Town",58,63,7.0,1,batter,92.06,,
A Nao,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),11,11,2.0,2,batter,100.0,,
R Vinay Kumar,Old Trafford,35,21,,1,bowler,,0.0,10.0
GR Russ,Amini Park,17,29,0.0,2,batter,58.62,,
JEC Franklin,Riverside Ground,42,60,,1,bowler,,5.0,4.2
Khizar Hayat,"Bayuemas Oval, Kuala Lumpur",58,78,3.0,11,batter,74.36,,
LMP Simmons,Pallekele International Cricket Stadium,76,59,9.0,2,batter,128.81,,
GD Elliott,Boland Park,4,6,,1,bowler,,0.0,4.0
SPD Smith,Sophia Gardens,197,211,25.0,3,batter,93.36,,
KNM Fernando,"Lord's, London",20,40,2.0,1,batter,50.0,,
JP Duminy,Rangiri Dambulla International Stadium,76,96,,3,bowler,,0.0,4.75
MA Ouma,Cambusdoon New Ground,21,44,3.0,1,batter,47.73,,
N Vanua,"Providence Stadium, Guyana",5,10,0.0,1,batter,50.0,,
MA Leask,"Wankhede Stadium, Mumbai",4,8,0.0,1,batter,50.0,,
K Nestor,Marsa Sports Club,209,132,,8,bowler,,2.0,9.5
SPD Smith,"Basin Reserve, Wellington",31,74,4.0,1,batter,41.89,,
Sabbir Rahman,Providence Stadium,15,15,1.0,2,batter,100.0,,
Shafiul Islam,Old Trafford,63,126,,1,bowler,,2.0,3.0
JDP Oram,"Basin Reserve, Wellington",44,132,,1,bowler,,2.0,2.0
PL Harris,Edgbaston,85,192,,1,bowler,,2.0,2.66
RJ Harris,Bellerive Oval,97,96,,2,bowler,,2.0,6.06
GI Gokoel,"Hurlingham Club Ground, Buenos Aires",0,1,0.0,1,batter,0.0,,
Harshit Rana,"JSCA International Stadium Complex, Ranchi",65,60,,1,bowler,,3.0,6.5
HDRL Thirimanne,Saxton Oval,106,134,8.0,2,batter,79.1,,
M Labuschagne,"Brisbane Cricket Ground, Woolloongabba",266,428,25.0,2,batter,62.15,,
SCJ Broad,Galle International Stadium,44,40,8.0,2,batter,110.0,,
Taijul Islam,"Green Park, Kanpur",90,74,,1,bowler,,1.0,7.3
JM Bairstow,"Kensington Oval, Bridgetown, Barbados",56,76,6.0,2,batter,73.68,,
Yasir Shah,Dubai International Cricket Stadium,1487,2910,,10,bowler,,58.0,3.07
TLW Cooper,"Hazelaarweg, Rotterdam",41,60,,2,bowler,,0.0,4.1
TM Dilshan,Kennington Oval,53,57,,3,bowler,,1.0,5.58
BB McCullum,Old Trafford,70,51,10.0,3,batter,137.25,,
MJ Santner,Sophia Gardens,17,27,0.0,2,batter,62.96,,
Haris Sohail,Gaddafi Stadium,191,164,19.0,3,batter,116.46,,
RW Price,Zohur Ahmed Chowdhury Stadium,38,84,,2,bowler,,2.0,2.71
LD Chandimal,P Sara Oval,207,486,16.0,4,batter,42.59,,
TM Head,"Vidarbha Cricket Association Stadium, Jamtha",42,59,4.0,1,batter,71.19,,
Soumya Sarkar,Galle International Stadium,122,185,16.0,1,batter,65.95,,
DL Chahar,"MA Chidambaram Stadium, Chepauk",6,7,0.0,1,batter,85.71,,
S Bau,Sheikh Zayed Stadium,91,99,7.0,5,batter,91.92,,
Mohammad Irfan,Manuka Oval,27,24,,1,bowler,,1.0,6.75
YS Chahal,"The Village, Malahide, Dublin",11,18,,1,bowler,,1.0,3.67
Jatinder Singh,Sheikh Zayed Stadium,161,141,19.0,7,batter,114.18,,
J Kila,ICC Academy Ground No 2,8,4,1.0,1,batter,200.0,,
JD Campbell,"Kensington Oval, Bridgetown, Barbados",44,77,7.0,2,batter,57.14,,
L Monanthane,"Botswana Cricket Association Oval 1, Gaborone",30,27,,3,bowler,,1.0,6.67
RR Patel,"Achimota Senior Secondary School B Field, Accra",35,36,,2,bowler,,3.0,5.83
K Bhurtel,"Maple Leaf North-West Ground, King City",52,55,4.0,5,batter,94.55,,
GH Dockrell,"National Cricket Stadium, Grenada",5,5,0.0,1,batter,100.0,,
DJ Mitchell,"John Davies Oval, Queenstown",15,16,0.0,1,batter,93.75,,
Sohail Ahmed,"Gahanga International Cricket Stadium, Rwanda",26,18,,2,bowler,,1.0,8.67
AK Markram,"Narendra Modi Stadium, Ahmedabad",237,133,35.0,5,batter,178.2,,
GD Elliott,Kingsmead,53,66,,2,bowler,,2.0,4.82
Khurram Chohan,Maple Leaf North-West Ground,26,60,,1,bowler,,4.0,2.6
RJW Topley,"Brian Lara Stadium, Tarouba, Trinidad",54,45,,2,bowler,,5.0,7.2
BJ Watling,Bay Oval,283,618,34.0,2,batter,45.79,,
RKJ Dawson,Melbourne Cricket Ground,121,169,,1,bowler,,2.0,4.3
CT Bancroft,Sydney Cricket Ground,0,7,0.0,1,batter,0.0,,
R de Swardt,"Bay Oval, Mount Maunganui",109,222,,1,bowler,,3.0,2.95
Sahir Naqash,Desert Springs Cricket Ground,7,10,0.0,1,batter,70.0,,
TM Head,Kennington Oval,33,48,,1,bowler,,1.0,4.12
A Zampa,"M Chinnaswamy Stadium, Bengaluru",53,60,,1,bowler,,4.0,5.3
TG Southee,McLean Park,802,1113,,14,bowler,,20.0,4.32
S Matsikenyeri,Harare Sports Club,317,395,33.0,18,batter,80.25,,
Sohail Khan,Dubai International Cricket Stadium,78,156,,1,bowler,,1.0,3.0
V Sehwag,Basin Reserve,60,58,11.0,1,batter,103.45,,
SR Tendulkar,Kingsmead,39,60,,2,bowler,,0.0,3.9
RTM Mendis,"Shere Bangla National Stadium, Mirpur",12,16,2.0,2,batter,75.0,,
Shahid Afridi,McLean Park,36,18,5.0,3,batter,200.0,,
MA Ouma,Mombasa Sports Club Ground,4,6,1.0,1,batter,66.67,,
KK Jennings,"Kensington Oval, Barbados",29,25,,1,bowler,,0.0,6.96
AR Cusack,Bellerive Oval,2,3,0.0,1,batter,66.67,,
MM Sharma,Eden Park,48,60,,1,bowler,,3.0,4.8
Shoaib Malik,Sydney Cricket Ground,30,36,,2,bowler,,0.0,5.0
A Zampa,New Wanderers Stadium,54,48,,1,bowler,,0.0,6.75
Shayan Jahangir,Dubai International Cricket Stadium,31,43,4.0,3,batter,72.09,,
AP Devcich,Sharjah Cricket Stadium,20,18,,2,bowler,,0.0,6.67
VJ Kingma,Bay Oval,11,12,,1,bowler,,0.0,5.5
Shamim Hossain,"R Premadasa Stadium, Colombo",28,38,3.0,3,batter,73.68,,
S Lamichhane,"Tribhuvan University International Cricket Ground, Kirtipur",58,59,6.0,11,batter,98.31,,
A Sharafu,"Tribhuvan University International Cricket Ground, Kirtipur",129,183,13.0,6,batter,70.49,,
S Sreesanth,Kinrara Academy Oval,25,48,,1,bowler,,2.0,3.12
T Ritawa,"Independence Park, Port Vila",7,6,1.0,2,batter,116.67,,
Adam Senn,Happy Valley Ground,70,67,4.0,5,batter,104.48,,
C Campher,"Castle Avenue, Dublin",41,26,6.0,4,batter,157.69,,
L Ngidi,"Lord's, London",0,7,0.0,2,batter,0.0,,
J Botha,Kingsmead,39,46,2.0,4,batter,84.78,,
R Powell,"The Rose Bowl, Southampton",79,43,13.0,1,batter,183.72,,
I Sharma,Kennington Oval,311,660,,4,bowler,,9.0,2.83
DM Bess,Old Trafford,240,409,,2,bowler,,5.0,3.52
SW Billings,M Chinnaswamy Stadium,0,1,0.0,1,batter,0.0,,
M Muralitharan,Sawai Mansingh Stadium,0,2,0.0,1,batter,0.0,,
MM Ali,"Kensington Oval, Bridgetown, Barbados",126,102,,7,bowler,,6.0,7.41
KD Shah,Bulawayo Athletic Club,72,69,5.0,3,batter,104.35,,
Mashrafe Mortaza,County Ground,22,23,3.0,1,batter,95.65,,
Shahadat Hossain,Seddon Park,31,52,6.0,2,batter,59.62,,
EC Joyce,"The Village, Malahide",88,197,9.0,5,batter,44.67,,
A Ashok,"McLean Park, Napier",10,12,2.0,1,batter,83.33,,
SD Hope,Eden Gardens,14,10,3.0,1,batter,140.0,,
Mohammad Shahid,Sheikh Abu Naser Stadium,91,132,,2,bowler,,2.0,4.14
MJ Guptill,Holkar Cricket Stadium,101,204,17.0,1,batter,49.51,,
A Vala,"Amini Park, Port Moresby",296,287,32.0,9,batter,103.14,,
MM Ali,Bay Oval,33,60,,1,bowler,,2.0,3.3
SR Thompson,"The Village, Malahide",278,318,,8,bowler,,6.0,5.25
SF Mire,Harare Sports Club,299,259,36.0,9,batter,115.44,,
Tanvir Ahmed,"Kensington Oval, Bridgetown",18,12,3.0,1,batter,150.0,,
DJ Bravo,"Beausejour Stadium, Gros Islet",185,208,18.0,11,batter,88.94,,
DI Joyce,"Civil Service Cricket Club, Stormont",29,56,4.0,3,batter,51.79,,
HMCM Bandara,Sydney Cricket Ground,0,6,0.0,1,batter,0.0,,
Mahedi Hasan,Pallekele International Cricket Stadium,6,16,0.0,1,batter,37.5,,
B Lee,Dubai International Cricket Stadium,0,3,0.0,1,batter,0.0,,
T Mupariwa,Shere Bangla National Stadium,29,30,,1,bowler,,0.0,5.8
JN Gillespie,"Lord's, London",14,62,3.0,1,batter,22.58,,
KA Pollard,Himachal Pradesh Cricket Association Stadium,6,31,0.0,1,batter,19.35,,
MJ Clarke,Bellerive Oval,81,109,,6,bowler,,0.0,4.46
MC Sorensen,Manuka Oval,76,36,,1,bowler,,0.0,12.67
V Aravind,Mulpani Cricket Ground,188,189,24.0,8,batter,99.47,,
Yasin Patel,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),78,63,,3,bowler,,5.0,7.43
NR Kumar,M Chinnaswamy Stadium,7,18,0.0,1,batter,38.89,,
Zubaidi Zulkifle,"Mission Road Ground, Mong Kok, Hong Kong",61,42,11.0,4,batter,145.24,,
J Charles,Queenstown Events Centre,0,3,0.0,1,batter,0.0,,
B Jerkovic,Kerava National Cricket Ground,64,24,,2,bowler,,0.0,16.0
Avesh Khan,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",37,36,,2,bowler,,2.0,6.17
AM Phangiso,"Vidarbha Cricket Association Stadium, Jamtha",19,24,,1,bowler,,1.0,4.75
GA Priandana,Sano International Cricket Ground,85,66,,5,bowler,,4.0,7.73
K Klein,"Hazelaarweg, Rotterdam",16,31,0.0,2,batter,51.61,,
DJM Short,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,10,12,,1,bowler,,0.0,5.0
Imrul Kayes,McLean Park,33,31,6.0,2,batter,106.45,,
SO Dowrich,Edgbaston,9,24,1.0,1,batter,37.5,,
AL Phehlukwayo,Kennington Oval,36,49,5.0,3,batter,73.47,,
GD McGrath,Melbourne Cricket Ground,376,834,,6,bowler,,13.0,2.71
Gurdeep Singh,Integrated Polytechnic Regional Centre,9,16,1.0,3,batter,56.25,,
V Kohli,Trent Bridge,324,518,32.0,4,batter,62.55,,
R Trumpelmann,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),300,228,,8,bowler,,9.0,7.89
RD Berrington,"Sportpark Westvliet, The Hague",52,42,6.0,3,batter,123.81,,
DL Brangman,"Maple Leaf North-East Ground, King City",13,12,1.0,1,batter,108.33,,
MS Dhoni,Edgbaston,268,281,38.0,6,batter,95.37,,
R Ashwin,SuperSport Park,254,464,,2,bowler,,5.0,3.28
CK Langeveldt,"Sabina Park, Kingston",33,60,,1,bowler,,2.0,3.3
DAS Gunaratne,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",60,84,4.0,2,batter,71.43,,
VJ Kingma,Sportpark Het Schootsveld,96,114,,2,bowler,,2.0,5.05
